,name,link,category,rating
366,ceteareth-25,https://www.paulaschoice.com/ingredient-dictionary/emulsifiers/ceteareth-25.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emulsifiers', 'Texture Enhancer']",Good
367,ceteareth-6 olivate,https://www.paulaschoice.com/ingredient-dictionary/emollients/ceteareth-6-olivate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Emulsifiers', 'Texture Enhancer']",Good
368,cetearyl alcohol,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/cetearyl-alcohol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good
369,cetearyl ethylhexanoate,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/cetearyl-ethylhexanoate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good
370,cetearyl glucoside,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/cetearyl-glucoside.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good
371,cetearyl octanoate,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/cetearyl-octanoate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Skin-Replenishing', 'Emollients']",Good
372,cetearyl olivate,https://www.paulaschoice.com/ingredient-dictionary/slip-agents/cetearyl-olivate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Slip Agents', 'Emulsifiers', 'Texture Enhancer']",Good
373,cetyl acetate,https://www.paulaschoice.com/ingredient-dictionary/emollients/cetyl-acetate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Emollients'],Good
374,cetyl alcohol,https://www.paulaschoice.com/ingredient-dictionary/thickeners%2Femulsifiers/cetyl-alcohol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Thickeners/Emulsifiers', 'Emollients']",Good
375,cetyl dimethicone,https://www.paulaschoice.com/ingredient-dictionary/silicones/cetyl-dimethicone.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Silicones'],Good
376,cetyl dimethicone copolyol,https://www.paulaschoice.com/ingredient-dictionary/silicones/cetyl-dimethicone-copolyol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Silicones', 'Emollients']",Good
377,cetyl esters,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/cetyl-esters.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good
378,cetyl hydroxyethylcellulose,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/cetyl-hydroxyethylcellulose.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good
379,cetyl palmitate,https://www.paulaschoice.com/ingredient-dictionary/emollients/cetyl-palmitate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Emollients'],Good
380,cetyl PEG/PPG-10/1-dimethicone,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/cetyl-peg%2Fppg-10%2F1-dimethicone.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Silicones']",Good
381,chamomile,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/chamomile.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best
382,Chamomilla recutita flower extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/chamomilla-recutita-flower-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best
383,charcoal,https://www.paulaschoice.com/ingredient-dictionary/absorbent/charcoal.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Absorbent'],Good
384,charcoal powder,https://www.paulaschoice.com/ingredient-dictionary/absorbent/charcoal-powder.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Absorbent'],Good
385,chelating agent,https://www.paulaschoice.com/ingredient-dictionary/uncategorized/chelating-agent.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Uncategorized'],Good
386,cherry extract,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/cherry-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Antioxidants']",Best
387,China clay,https://www.paulaschoice.com/ingredient-dictionary/absorbent/china-clay.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Absorbent'],Good
388,chitosan,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/chitosan.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Antioxidants']",Best
389,chlorella,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/chlorella.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Texture Enhancer', 'Emollients', 'Plant Extracts']",Good
390,chlorophene,https://www.paulaschoice.com/ingredient-dictionary/preservatives/chlorophene.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Preservatives'],Good
391,chloroxylenol,https://www.paulaschoice.com/ingredient-dictionary/preservatives/chloroxylenol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Preservatives'],Good
392,chlorphenesin,https://www.paulaschoice.com/ingredient-dictionary/preservatives/chlorphenesin.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Preservatives'],Good
393,cholecalciferol,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/cholecalciferol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Vitamins']",Good
394,cholesterol,https://www.paulaschoice.com/ingredient-dictionary/emollients/cholesterol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Skin-Replenishing']",Best
395,choline,https://www.paulaschoice.com/ingredient-dictionary/vitamins/choline.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Vitamins'],Best
396,chondroitin sulfate,https://www.paulaschoice.com/ingredient-dictionary/skin-replenishing/chondroitin-sulfate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Replenishing'],Best
397,Chondrus crispus (algae) extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/chondrus-crispus.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts', 'Hydration']",Best
398,chromium hydroxide green,https://www.paulaschoice.com/ingredient-dictionary/coloring-agents%2Fpigments/chromium-hydroxide-green.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Coloring Agents/Pigments'],Good
399,chromium oxide green,https://www.paulaschoice.com/ingredient-dictionary/coloring-agents%2Fpigments/chromium-oxide-green.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Coloring Agents/Pigments'],Good
400,Chrysanthellum indicum (golden chamomile) extract,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/chrysanthellum-indicum-golden-chamomile-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Antioxidants', 'Plant Extracts']",Best
401,chrysanthemum extract,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/chrysanthemum-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Plant Extracts']",Best
402,Chrysanthemum parthenium extract,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/chrysanthemum-parthenium-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Average
403,Cichorium intybus,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/cichorium-intybus.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Good
404,Cimicifuga racemosa root extract,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/cimicifuga-racemosa-root-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Average
405,Cinnamomum,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/cinnamomum.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor
406,Cinnamomum camphora,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/cinnamomum-camphora.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Poor
407,cinnamon,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/cinnamon.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor
408,cinnamyl alcohol,https://www.paulaschoice.com/ingredient-dictionary/fragrance-synthetic-and-fragrant-plant-extracts/cinnamyl-alcohol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Fragrance: Synthetic and Fragrant Plant Extracts'],Poor
409,citrate buffer,https://www.paulaschoice.com/ingredient-dictionary/miscellaneous/citrate-buffer.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Miscellaneous'],Good
410,citric acid,https://www.paulaschoice.com/ingredient-dictionary/uncategorized/citric-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Uncategorized'],Good
411,citronellol,https://www.paulaschoice.com/ingredient-dictionary/fragrance-synthetic-and-fragrant-plant-extracts/citronellol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Fragrance: Synthetic and Fragrant Plant Extracts'],Poor
