cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img,ingredient_list,new_ing_list
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/880160-Gucci_Eau_De_Parfum_Guilty/,Gucci,"Eau De Parfum, Guilty",08,https://static.ewg.org/skindeep_images/8801/880160.jpg,"ALCOHOL DENAT., AQUA (WATER), PARFUM (FRAGRANCE), ETHYLHEXYL METHOXYCINNAMATE, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, BHT, LIMONENE, BENZYL SALICYLATE, LINALOOL, HYDROXYCITRONELLAL, ALPHA-ISOMETHYL IONONE, HEXYL CINNAMAL, CITRONELLOL, CITRAL, COUMARIN, GERANIOL, EUGENOL, FARNESOL, CI 60730 (EXT. VIOLET 2), CI 17200 (RED 33), CI 15985 (YELLOW 6), CI 14700 (RED 4)","['ALCOHOL DENAT.', 'CAVIAR WATER', 'ETHYLHEXYL METHOXYCINNAMATE', 'DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE', 'BHT', 'LIMONENE', 'BENZYL SALICYLATE', 'LINALOOL', 'HYDROXYCITRONELLAL', 'ALPHA-ISOMETHYL IONONE', 'HEXYL CINNAMAL', 'CITRONELLOL', 'CITRAL', 'COUMARIN', 'GERANIOL', 'EUGENOL', 'FARNESOL', 'ACID RED 33', 'ACID YELLOW 36', 'CI 14700']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/872657-Escada_Sorbetto_Rosso_Vaporisateur_Natural_Spray/,Escada,Sorbetto Rosso Vaporisateur Natural Spray,08,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"ALCOHOL DENAT, WATER, PARFUM, ETHYLHEXYL METHOXYCINNAMATE, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, BHT, LIMONENE, LINALOOL, HYDROXYCITRONELLAL, HEXYL CINNAMAL, CITRONELLOL, GERANIOL, CITRAL, CI 14700 (RED 4), CI 17200 (RED 33), CI 60730 (EXT. VIOLET 2), CI 15985 (YELLOW 6) 80% VOL.","['ALCOHOL DENAT.', 'WATER', 'PARFUM', 'ETHYLHEXYL METHOXYCINNAMATE', 'DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE', 'BHT', 'LIMONENE', 'LINALOOL', 'HYDROXYCITRONELLAL', 'HEXYL CINNAMAL', 'CITRONELLOL', 'GERANIOL', 'CITRAL', 'CI 14700', 'ACID RED 33']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/886724-Donna_Karan_Cashmere_Mist_Essence_Spray/,Donna Karan,Cashmere Mist Essence Spray,08,https://static.ewg.org/skindeep_images/8867/886724.jpg,"ALCOHOL DENAT., FRAGRANCE, WATERAQUATEAU, BENZYL SALICYLATE, ETHYLHEXYL METHOXYCINNAMATE, BUTYL METHOXYDIBENZOYLMETHANE, ETHYLHEXYL SALICYLATE, ALPHA-ISOMETHYL IONONE, LINALOOL, COUMARIN, HYDROXY- CITRONELLAL, HEXYL CINNAMAL, BENZYL BENZOATE, ISOEUGENOL, BENZYL ALCOHOL, FARNESOL, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE","['ALCOHOL DENAT.', 'GRANITE', 'CARNAUBATE', 'BENZYL SALICYLATE', 'ETHYLHEXYL METHOXYCINNAMATE', 'BUTYL METHOXYDIBENZOYLMETHANE', 'ETHYLHEXYL SALICYLATE', 'ALPHA-ISOMETHYL IONONE', 'LINALOOL', 'COUMARIN', 'HYDROXYCITRONELLAL', 'HEXYL CINNAMAL', 'BENZYL BENZOATE', 'ISOEUGENOL', 'BENZYL ALCOHOL', 'FARNESOL', 'PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/880102-Britney_Spears_Eau_De_Parfum_Spray_Curious_/,Britney Spears,"Eau De Parfum Spray, Curious",08,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"ALCOHOL DENAT., FRAGRANCE, WATER, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE, ALPHA-ISOMETHYL IONONE, BENZYL BENZOATE, BENZYL SALICYLATE, CITRAL, CITRONELLOL, FARNESOL, GERANIOL, HEXYL CINNAMAL, HYDROXYCITRONELLAL, ISOEUGENOL, LIMONENE, LINALOOL, BUTYL METHOXYDIBENZOYLMETHANE, ETHYLHEXYL METHOXYCINNAMATE, ETHYLHEXYL SALICYLATE.","['ALCOHOL DENAT.', 'GRANITE', 'WATER', 'PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE', 'ALPHA-ISOMETHYL IONONE', 'BENZYL BENZOATE', 'BENZYL SALICYLATE', 'CITRAL', 'CITRONELLOL', 'FARNESOL', 'GERANIOL', 'HEXYL CINNAMAL', 'HYDROXYCITRONELLAL', 'ISOEUGENOL', 'LIMONENE', 'LINALOOL', 'BUTYL METHOXYDIBENZOYLMETHANE', 'ETHYLHEXYL METHOXYCINNAMATE', 'ETHYLHEXYL SALICYLATE']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/879637-Burberry_Eau_de_Parfum/,Burberry,Eau de Parfum,08,https://static.ewg.org/skindeep_images/8796/879637.jpg,"ALCOHOL, FRAGRANCE, WATER, ETHYLHEXYL METHOXYCINNAMATE, ALPHA-ISOMETHYL IONONE, ETHYLHEXYL SALICYLATE, LIMONENE, BUTYL METHOXYDIBENZOYLMETHANE, HEXYL CINNAMAL, CITRONELLOL, LINALOOL, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE, BHT, EXT. VIOLET 2 (CI 60730), YELLOW 5 (CI 19140), RED 33 (CI 17200).","['ALCOHOL', 'GRANITE', 'WATER', 'ETHYLHEXYL METHOXYCINNAMATE', 'ALPHA-ISOMETHYL IONONE', 'ETHYLHEXYL SALICYLATE', 'LIMONENE', 'BUTYL METHOXYDIBENZOYLMETHANE', 'HEXYL CINNAMAL', 'CITRONELLOL', 'LINALOOL', 'TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE', 'BHT', 'YELLOW 11', 'CI 17200']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/839932-MAISON_MARGIELA_REPLICA_Filter_Blur/,Maison 276,"MAISON MARGIELA REPLICA Filter, Blur",08,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"Caprylic/Capric Triglyceride, Isopropyl Palmitate, Isopropyl Myristate, Fragrance, Butyl Methoxydibenzoylmethane, Ethylhexyl Methoxycinnamate, Benzyl Salicylate, Benzyl Alcohol, Geraniol, Macadamia Ternifolia Seed Oil, Argania Spinosa Kernel Oil, Rosa Canina Fruit Oil, Prunus Amygdalus Dulcis Oil/Sweet Almond Oil, Pentaerythrityl Tetra-Di-T-Butyl, Hydroxyhydrocinnamate, Hydroxycitronellal, Citronellol, Water, Limonene, Linalool, Alcohol, Tris (Tetramethylhydroxypiperidinol) Citrate, Coumarin, Citral, Bht, Haematococcus Pluvialis Extract, Tocopherol, B188017/1","['CAPRIC TRIGLYCERIDE', 'ISOPROPYL PALMITATE', 'ISOPROPYL MYRISTATE', 'GRANITE', 'BUTYL METHOXYDIBENZOYLMETHANE', 'ETHYLHEXYL METHOXYCINNAMATE', 'BENZYL SALICYLATE', 'BENZYL ALCOHOL', 'GERANIOL', 'MACADAMIA TERNIFOLIA SEED OIL', 'ARGANIA SPINOSA KERNEL OIL', 'ROSA CANINA FRUIT OIL', 'PRUNUS AMYGDALUS DULCIS SEED', 'PENTAERYTHRITYL TETRAABIETATE', 'METHYL HYDROXYCINNAMATE', 'HYDROXYCITRONELLAL', 'CITRONELLOL', 'WATER', 'LIMONENE', 'LINALOOL', 'ALCOHOL', 'TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE', 'COUMARIN', 'CITRAL', 'BHT', 'HAEMATOCOCCUS PLUVIALIS EXTRACT', 'TOCOPHEROL']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/879210-Solinotes_Paris_Eau_De_Parfum_Grenade/,,"Solinotes Paris Eau De Parfum, Grenade",08,https://static.ewg.org/skindeep_images/8792/879210.jpg,"ALCOHOL DENAT. (S.D.ALCOHOL 39-C), PARFUM (FRAGRANCE), AQUA (WATER), LINALOOL, LIMONENE, HEXYL CINNAMAL, GERANIOL, BUTYLPHENYL METHYLPROPIONAL, OCTOCRYLENE, CITRONELLOL, HOMOSALATE, BUTYL METHOXYDIBENZOYLMETHANE, CITRAL, TOCOPHEROL, AMYLCINNAMYL ALCOHOL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, BENZYL ALCOHOL, CI 14700 (RED 4), CI 17200 (RED 33).","['ALCOHOL DENAT. SD ALCOHOL 39-C', 'CAVIAR WATER', 'LINALOOL', 'LIMONENE', 'HEXYL CINNAMAL', 'GERANIOL', 'BUTYLPHENYL METHYLPROPIONAL', 'OCTOCRYLENE', 'CITRONELLOL', 'HOMOSALATE', 'BUTYL METHOXYDIBENZOYLMETHANE', 'CITRAL', 'TOCOPHEROL', 'AMYLCINNAMYL ALCOHOL', 'HELIANTHUS ANNUUS SEED OIL', 'BENZYL ALCOHOL', 'CI 14700', 'ACID RED 33']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/879202-SoliNotes_Paris_Eau_De_Parfum_Jasmine_Blossom/,,"SoliNotes Paris Eau De Parfum, Jasmine Blossom",08,https://static.ewg.org/skindeep_images/8792/879202.jpg,"ALCOHOL DENAT. (S.D ALCOHOL 39-C), PARFUM (FRAGRANCE), AQUA (WATER), HEXYL CINNAMAL, OCTOCRYLENE, BENZYL SALICYLATE, BUTYLPHENYL METHYLPROPIONAL, HOMOSALATE, LINALOOL, BUTYL METHOXYDIBENZOYLMETHANE, HYDROXYCITRONELLAL, LIMONENE, CITRONELLOL, ALPHA-ISOMETHYL IONONE, TOCOPHEROL, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, BENZYL ALCOHOL, CI 19140 (YELLOW 5), CI 42090 (BLUE 1), CI 14700 (RED 4), CI 17200 (RED 33).","['ALCOHOL DENAT. SD ALCOHOL 39-C', 'CAVIAR WATER', 'HEXYL CINNAMAL', 'OCTOCRYLENE', 'BENZYL SALICYLATE', 'BUTYLPHENYL METHYLPROPIONAL', 'HOMOSALATE', 'LINALOOL', 'BUTYL METHOXYDIBENZOYLMETHANE', 'HYDROXYCITRONELLAL', 'LIMONENE', 'CITRONELLOL', 'ALPHA-ISOMETHYL IONONE', 'TOCOPHEROL', 'HELIANTHUS ANNUUS SEED OIL', 'BENZYL ALCOHOL', 'ACID YELLOW 1', 'ACID BLUE 1', 'CI 14700', 'ACID RED 33']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/839960-Atelier_Cologne_Cologne_Absolue_Trefle_Pur_/,Atelier Cologne,"Cologne Absolue, Trefle Pur",08,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"Alcohol Denat., Fragrance, Water, Limonene, Linalool, Ethylhexyl Methoxycinnamate, Citral, Alpha-Isomethyl Ionone, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Evernia Furfuracea/Treemoss Extract, Geraniol, Eugenol, Citronellol, Farnesol, Hydroxycitronellal","['ALCOHOL DENAT.', 'GRANITE', 'WATER', 'LIMONENE', 'LINALOOL', 'ETHYLHEXYL METHOXYCINNAMATE', 'CITRAL', 'ALPHA-ISOMETHYL IONONE', 'ETHYLHEXYL SALICYLATE', 'BUTYL METHOXYDIBENZOYLMETHANE', 'EVERNIA FURFURACEA EXTRACT', 'GERANIOL', 'EUGENOL', 'CITRONELLOL', 'FARNESOL', 'HYDROXYCITRONELLAL']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/938602-Byredo_Extrait_De_Parfum_Sellier/,Byredo,"Extrait De Parfum, Sellier",08,https://static.ewg.org/skindeep_images/9386/938602.jpg,"Alcohol, parfum (fragrance), aqua (water), butyl methoxydibenzoylmethane, ethylhexyl methoxycinnamate, geraniol, tris(tetramethylhydroxypiperidinol) citrate, ci 15985 (yellow 6), isoeugenol, citral, citronellol, ci 19140 (yellow 5), ci 60730 (ext. violet 2), bht.","['ALCOHOL', 'CAVIAR WATER', 'BUTYL METHOXYDIBENZOYLMETHANE', 'ETHYLHEXYL METHOXYCINNAMATE', 'GERANIOL', 'TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE', 'ACID YELLOW 36', 'ISOEUGENOL', 'CITRAL', 'CITRONELLOL', 'ACID YELLOW 1', 'BHT']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/882963-Calvin_Klein_Eternity_Air_for_Women_Eau_De_Parfum_Spray/,Calvin Klein,"Eternity Air for Women, Eau De Parfum Spray",08,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"ALCOHOL DENAT., PARFUM/FRAGRANCE, AQUA/WATER/EAU, LIMONENE, ETHYLHEXYL METHOXYCINNAMATE, HEXYL CINNAMAL, BENZOPHENONE-3, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, CITRONELLOL, CITRAL, PROPYLENE GLYCOL, LINALOOL, GERANIOL, BHT, DISODIUM EDTA, ACRYLATES/OCTYLACRYLAMIDE COPOLYMER, HYDROLYZED JOJOBA ESTERS, EXT. D&C VIOLET NO. 2 (CI 60730).","['ALCOHOL DENAT.', 'APAFLURANE', 'LIMONENE', 'ETHYLHEXYL METHOXYCINNAMATE', 'HEXYL CINNAMAL', 'BENZOPHENONE-3', 'ETHYLHEXYL SALICYLATE', 'BUTYL METHOXYDIBENZOYLMETHANE', 'CITRONELLOL', 'CITRAL', 'PROPYLENE GLYCOL', 'LINALOOL', 'GERANIOL', 'BHT', 'DISODIUM EDTA', 'OCTYLACRYLAMIDE COPOLYMER', 'HYDROLYZED JOJOBA ESTERS', 'HC VIOLET NO. 2']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/876189-Gucci_Guilty_Absolute_Pour_Femme_Eau_de_Parfum/,Gucci,Guilty Absolute Pour Femme Eau de Parfum,08,https://static.ewg.org/skindeep_images/8761/876189.jpg,"ALCOHOL DENAT. AQUA WATER, PARFUM (FRAGRANCE), ETHYLHEXYL METHOXYCINNAMATE, DIETLHYLAMINO HYDROXYEBENZOYL HXYL BENZOATE, BHT, LIMONENE, BENZYL SALICYLATE, LINALOOL, HYDROXYCITRONELLA, ALPHA-ISOMETHYL IONONE, HEXYL CINNAMAL, CHITRONELLOL, CITRAL, COUMARIN, GERANIOL, EUGENOL, FARNESOL, CI 60730 (EXT, VIOLET 2), CI 17200 (RED 33), CI 15985 (YELLOW 6), CI 14700 (RED 4) 80% VOL.","['ALCOHOL DENAT.', 'ETHYLHEXYL METHOXYCINNAMATE', 'DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE', 'BHT', 'LIMONENE', 'BENZYL SALICYLATE', 'LINALOOL', 'HYDROXYCITRONELLAL', 'ALPHA-ISOMETHYL IONONE', 'HEXYL CINNAMAL', 'CITRONELLOL', 'CITRAL', 'COUMARIN', 'GERANIOL', 'EUGENOL', 'FARNESOL', 'CI 60730', 'BASIC VIOLET 2', 'ACID RED 33', 'ACID YELLOW 36']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/839937-MAISON_MARGIELA_REPLICA_Lazy_Sunday_Morning/,Maison 276,"MAISON MARGIELA REPLICA, Lazy Sunday Morning",08,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"Alcohol, Fragrance, Water, Benzyl Salicylate, Benzyl Alcohol, Butyl Methoxydibenzoylmethane, Ethylhexyl Methoxycinnamate, Linalool, Citronellol, Geraniol, Cinnamyl Alcohol, Hydroxycitronellal, Farnesol, Limonene, Ci 60730/Ext. Violet 2, Ci 19140/Yellow 5, C162587/2","['ALCOHOL', 'GRANITE', 'WATER', 'BENZYL SALICYLATE', 'BENZYL ALCOHOL', 'BUTYL METHOXYDIBENZOYLMETHANE', 'ETHYLHEXYL METHOXYCINNAMATE', 'LINALOOL', 'CITRONELLOL', 'GERANIOL', 'CINNAMYL ALCOHOL', 'HYDROXYCITRONELLAL', 'FARNESOL', 'LIMONENE', 'PIGMENT VIOLET 23', 'ACID YELLOW 1']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/878461-Escada_Eau_De_Toilette_Fragrance_Pen/,Escada,Eau De Toilette Fragrance Pen,08,https://static.ewg.org/skindeep_images/8784/878461.jpg,"ALCOHOL DENAT, WATER, FRAGRANCE, ETHYLHEXYL METHOXYCINNAMATE, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, BHT, LIMONENE, LINALOOL, HYDROXYCITRONELLAL, HEXYL CINNAMAL, CITRONELLOL, GERANIOL, CITRAL, CI 14700 (RED 4), CI 17200 (RED 33), CI 60730 (EXT. VIOLET 2), CI 15985 (YELLOW 6)","['ALCOHOL DENAT.', 'WATER', 'GRANITE', 'ETHYLHEXYL METHOXYCINNAMATE', 'DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE', 'BHT', 'LIMONENE', 'LINALOOL', 'HYDROXYCITRONELLAL', 'HEXYL CINNAMAL', 'CITRONELLOL', 'GERANIOL', 'CITRAL', 'CI 14700', 'ACID RED 33', 'ACID YELLOW 36']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/938599-Byredo_Eau_De_Parfum_Blanche/,Byredo,"Eau De Parfum, Blanche",09,https://static.ewg.org/skindeep_images/9385/938599.jpg,"Alcohol, parfum (fragrance), aqua (water), alpha-isomethyl ionone, butylphenyl methylpropional, butyl methoxydibenzoylmethane, ethylhexyl methoxycinnamate, ethylhexyl salicylate, citral, citronellol, hydroxycitronellal, geraniol, limonene, bht.","['ALCOHOL', 'CAVIAR WATER', 'ALPHA-ISOMETHYL IONONE', 'BUTYLPHENYL METHYLPROPIONAL', 'BUTYL METHOXYDIBENZOYLMETHANE', 'ETHYLHEXYL METHOXYCINNAMATE', 'ETHYLHEXYL SALICYLATE', 'CITRAL', 'CITRONELLOL', 'HYDROXYCITRONELLAL', 'GERANIOL', 'LIMONENE', 'BHT']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/839935-MAISON_MARGIELA_REPLICA_Funfair_Evening/,Maison 276,"MAISON MARGIELA REPLICA, Funfair Evening",09,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"Alcohol, Fragrance, Water, Linalool, Butyl Methoxydibenzolymethane, Ethylhexyl Methoxycinnamate, Geraniol, Bht, Ethylhexyl Salicylate, Coumarin, Methyl Anthranilate, Limonene, Anise Alcohol, Farnesol, Citronellol, Citral, Eugenol, Ci 60730/Ext. Violet 2, Ci 14700/Red 4, Ci 42090/Blue 1, B53210/1","['ALCOHOL', 'GRANITE', 'WATER', 'LINALOOL', 'BUTYL METHOXYDIBENZOYLMETHANE', 'ETHYLHEXYL METHOXYCINNAMATE', 'GERANIOL', 'BHT', 'ETHYLHEXYL SALICYLATE', 'COUMARIN', 'METHYL ANTHRANILATE', 'LIMONENE', 'ANISE ALCOHOL', 'FARNESOL', 'CITRONELLOL', 'CITRAL', 'EUGENOL', 'PIGMENT VIOLET 23', 'CI 14700', 'CI 42090']"
Fragrance,Fragrance For Women,https://www.ewg.org/skindeep/products/886732-Ariana_Grande_Eau_De_Parfum_Spray_Moonlight/,,"Ariana Grande Eau De Parfum Spray, Moonlight",09,https://static.ewg.org/skindeep_images/8867/886732.jpg,"ALCOHOL DENAT., FRAGRANCE, WATER, ETHYLHEXYL METHOXYCINNAMATE, BUTYLPHENYL METHYLPROPIONAL, ETHYLHEXYL SALICYLATE, BUTYL METHOXYDIBENZOYLMETHANE, BENZYL SALICYLATE, HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE, LIMONENE, LINALOOL, CITRONELLOL, GERANIOL, COUMARIN, CITRIC ACID, TRIETHANOLAMINE.","['ALCOHOL DENAT.', 'GRANITE', 'WATER', 'ETHYLHEXYL METHOXYCINNAMATE', 'BUTYLPHENYL METHYLPROPIONAL', 'ETHYLHEXYL SALICYLATE', 'BUTYL METHOXYDIBENZOYLMETHANE', 'BENZYL SALICYLATE', 'HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE', 'LIMONENE', 'LINALOOL', 'CITRONELLOL', 'GERANIOL', 'COUMARIN', 'CITRIC ACID', 'TRIETHANOLAMINE']"
